hq_id,inv_id,inv_name
49827,49827,supplier3
278355,278355,supplier4
1233358,1233358,supplier4
1390418,1390418,supplier4
1593488,1593488,supplier4
544957,544957,supplier1
170124,170124,supplier1
228818,228818,supplier1
177346,177346,supplier1
118930,118930,supplier1
130593,130593,supplier1
262546,262546,supplier1
311469,311469,supplier1
30628,30628,supplier3
36380,36380,supplier3
42416,42416,supplier3
304198,304198,supplier3
1127428,1127428,supplier4
1173058,1173058,supplier4
206780,206780,supplier1
208701,208701,supplier1
284853,284853,supplier1
270599,270599,supplier1
312104,312104,supplier1
408165,408165,supplier1
234258,234258,supplier1
407919,407919,supplier1
105758,105758,supplier1
131704,131704,supplier1
220652,220652,supplier1
585396,585396,supplier1
